config,seed,warm_setup,cold_setup,warm_hold,cold_hold
baseline,15,0.252,0.247,0.147,0.082
csrPipeRead,15,-0.107,-0.079,0.125,0.057
noCsrAlu,15,-0.441,-0.426,0.161,0.097
csrBoth,15,-0.014,-0.148,0.154,0.086
dcache1way,15,-0.476,-0.596,0.111,0.041
earlyDataMux,15,-0.238,-0.196,0.136,0.073
mulBuf,15,-0.105,-0.169,0.124,0.045
mulBufBoth,15,-0.218,-0.162,0.113,0.079
fpuPipe,15,-0.373,-0.273,0.158,0.127
predNone,15,-0.651,-0.584,0.154,0.085
sepAddSub,15,-0.754,-0.776,0.126,0.061
dbusSlave,15,-0.881,-0.750,0.120,0.051
baseline,15,0.252,0.247,0.147,0.082
